No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,PoissonRatio
3250,GB02-071355,HandbookofGlassData,1983,v.00Ap.0325,Glass,AlkaliSilicate,,,,,,,,,,,,,,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223
9654,GP02-353680,USPatentAsahiGlass(J),2013,A0302617,Glass,AlkaliSilicate,Alumino-Silicate,Alkaline-earthSilicate,Melting,SheetGlass,,,ChemicalStrengthen,Display,,,,ex.8,,72,0,6,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207
812,GB02-006470,HandbookofGlassProperties,1986,v.001p.0326,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,65,0,0,0,0,0,0,0,26.5,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277
810,GB02-006435,HandbookofGlassProperties,1986,v.001p.0322,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,62.5,0,0,0,27.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245
18572,GP02-356858,USPatentCorningInc.(US),2014,A0227523,Glass,AlkaliSilicate,Alumino-Silicate,,Melting,,,,ChemicalStrengthen,,,,,ex.5,,67.22,2.61,12.03,3.34,0.06,0,0,14.2,0.03,0,0,0,0,0,0,0.41,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202
11200,GJ02-251248,GlassPhysics&Chemistry,2003,v.029p.0002,Glass,AlkaliSilicate,,,,,,,,,,,,,,59.87,0,0,0,0,0,40.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22
1607,GB09-017750,HandbookofGlassData,1987,v.00Cp.0936,Glass,OtherSilicate,Alumino-Silicate,,,,,,,,,,,,,71.67,0,16.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225
18706,GP02-357354,USPatentCorningInc.(US),2014,A0356576,Glass,AlkaliSilicate,,,Melting,SheetGlass,Disk,,MagneticMemoryDisk,ChemicalStrengthen,,,,ex.5,,65.28,0,6.96,0.03,2.07,0,9.67,10.49,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237
4273,GJ06-082135,GlassPhysics&Chemistry,1979,v.005p.0278,Glass,Alumino-Silicate,AlkaliSilicate,,,,,,,,,,,,,69,0,20,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225
2795,GC05-051420,CorningInc.(US),1976,7070,Glass,Boro-Silicate,,,PowderFrit,Tube,Pressed,,ElectronicsElectrical,,,,,LowElectricalLoss,,74.78,22.4,0.61,0,0,0,1.04,0.5,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22
727,GB02-006430,HandbookofGlassProperties,1986,v.001p.0322,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,70.5,0,0,0,12,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225
7553,GJ02-176336,GlassPhysics&Chemistry,1998,v.024p.0539,Glass,AlkaliSilicate,,,,,,,,,,,,D.S.Sanditov,,69.9,0,0,0,0,0,0,30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255
1833,GB02-019714,HandbookofGlassData,1987,v.00Cp.0204,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,70,0,0,18,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222
9791,GP06-356994,USPatentCorningInc.(US),2014,A0249017,Glass,Alumino-Silicate,Alkaline-earthSilicate,,Melting,SheetGlass,,,Display,LiquidCrystalDisplay,,,,ex.8,,71.2,1.97,12.38,4.35,6.09,0.03,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229
8753,GI03-191746R,NGF'sAdditionalNewData(J),2001,v.004p.0003,Glass,Alkaline-earthSilicate,Alumino-Silicate,AlkaliSilicate,,,,,Fiber,,,,Annealing:at730Cfor1h.,GlassNameC110Melting:inPtcrucibleat1600Cfor7h.,,62.54,0,7.04,4.4,15.2,0,0,0.11,10.54,0,0,0,0,0,0,0,0.006255,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
7549,GJ02-176316,GlassPhysics&Chemistry,1998,v.024p.0534,Glass,AlkaliSilicate,,,,,,,,,,,,D.S.Sanditov,,66.7,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255
2024,GB02-025711,HandbookofGlassData,1987,v.00Cp.0450,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,73,0,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212
2088,GB02-019754,HandbookofGlassData,1987,v.00Cp.0209,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,59,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281
3579,GP06-061048,USPatentUSAGov.(US),1987,A4709987,Glass,Alumino-Silicate,Alkaline-earthSilicate,,Tube,,,,OpticalFiber,,,,,ProtectivecoatingofOpt.fiber.,,52.67,0,17.73,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256
2382,GJ02-045762,GlassPhysics&Chemistry,1982,v.008p.0463,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,70,0,5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231
836,GB02-006609,HandbookofGlassProperties,1986,v.001p.0330,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,65,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244
6744,GI02-219405,Proc.ICG,2002,v.P1Dp.:008,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,71.25,0,1.12,5.94,8.44,0,0,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22
859,GB02-006726,HandbookofGlassProperties,1986,v.001p.0327,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,65,0,20,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
3835,GJ05-092143,AppliedOptics,1981,v.020p.3276,Glass,Boro-Silicate,,,Fiber,,,,OpticalFiber,,,,,Clad.Temp.insensitivefiber,,86.78,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219
5530,GJ02-176246,GlassPhysics&Chemistry,1998,v.024p.0525,Glass,AlkaliSilicate,,,,,,,,,,,,D.S.Sanditov,,84.2,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225
2877,GC01-052420,CoorsTek(J),1980,T-1230,Glass,Silica,,,Fiber,Tube,Rod,,Substrate,,,,,TransparentQuarzGlass,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
2423,GB02-025721,HandbookofGlassData,1987,v.00Cp.0450,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,65,0,12,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224
2828,GC02-052107,AsahiGlass(J),,SunCut-P-Bronze,Glass,AlkaliSilicate,Alkaline-earthSilicate,,FlatGlass,,,,ArchitectureTrafficIndustry,Window,,,,,,71.39,0,1.17,4.43,9.56,0,0,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5198,GB02-164810,FundamentalsofInorganicGlasses,1994,v.001p.0171,Glass,AlkaliSilicate,Zinc-Silicate,,,,,,,,,,,,,76.92,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235
2865,GC01-052408,TosohQuartz(J),1980,,Glass,Silica,,,Tube,Slab,,,OpticsOptoelectronics,,,,,,,99.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17
7107,GB02-164802,FundamentalsofInorganicGlasses,1994,v.001p.0171,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,58.82,0,0,0,0,29.41,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285
5563,GJ02-176342,GlassPhysics&Chemistry,1998,v.024p.0539,Glass,AlkaliSilicate,,,,,,,,,,,,D.S.Sanditov,,73.1,0,0,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275
839,GB02-006614,HandbookofGlassProperties,1986,v.001p.0330,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,55,0,20,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208
3784,GJ02-091224,GlassPhysics&Chemistry,1980,v.006p.0310,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,72,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213
4252,GB04-081681,HandbookofGlassData,1983,v.00Ap.0501,Glass,Lead-Silicate,,,,,,,,,,,,,,64.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252
2825,GC02-052104,AsahiGlass(J),,Sunlux-TBL35,Glass,AlkaliSilicate,Alkaline-earthSilicate,,FlatGlass,,,,ArchitectureTrafficIndustry,Window,,,,,,71.39,0,1.17,4.43,9.56,0,0,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
1826,GB02-019707,HandbookofGlassData,1987,v.00Cp.0204,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,70,0,0,0,18,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218
10487,GP02-224657,USPatentCorningInc.(US),2002,A6436858,Glass,AlkaliSilicate,Zinc-Silicate,,,,,,Material,,,,,Organiclensmold.,,66.06,0.88,2.37,4.73,0,0,0,11.78,3.5,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
718,GB02-006416,HandbookofGlassProperties,1986,v.001p.0321,Glass,AlkaliSilicate,Lead-Silicate,,,,,,,,,,,,,70,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217
1861,GB02-019778,HandbookofGlassData,1987,v.00Cp.0214,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,70.5,0,0,0,12,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225
15201,XP06-302657,USPatentCorningInc.(US),2011,A0092353,Glass-Ceramics,Alumino-Silicate,AlkaliSilicate,,,,,,ElectronicsElectrical,Container,,,,Ex.1,,69.36,1.83,12.58,2.85,0,0,7.69,0.31,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245
8236,GJ02-186684,GlassPhysics&Chemistry,1999,v.025p.0257,Glass,AlkaliSilicate,OtherSilicate,,,,,,,,,,,,,57,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
5685,GJ06-115442,J.MaterialsScience,1989,v.024p.4525,Glass,Alumino-Silicate,AlkaliSilicate,,,,,,,,,,,,,63.16,0,5.26,0,0,0,31.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221
4477,GJ01-111031,J.Non-CrystallineSolids,1990,v.125p.0195,Glass,Silica,,,Sol-Gel,HotPressed,,,,,,,,Preparationofoxynitridesiliconglass,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17
3214,GC06-051382,CorningInc.(US),1973,1723,Glass,Alumino-Silicate,Alkaline-earthSilicate,,Tube,Rod,AlkaliResistant,NonAlkali,CathodeRayTube,Machinary,Space,,,HeatResistant,,61.04,3.69,10.1,11.17,11.47,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
18026,GJ05-353103,J.Non-CrystallineSolids,2014,v.388p.0037,Glass,Boro-Silicate,,,Melting,,,,,,,,annealedfor2h.,S3-BaO,,67.96,29.13,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2016
2886,GB09-043074,HandbookofGlassData,1985,v.00Bp.0588,Glass,OtherSilicate,,,,,,,,,,,,,,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
2710,GP07-035670,JapanesePatentSchottGlassTech.(US),1985,A239342,Glass,Zinc-Silicate,Alumino-Silicate,Alkaline-earthSilicate,NonAlkali,,,,SubstrateforPhotolithographyMask,,,,,,,64.84,3.2,8.56,3.18,3.17,4.26,0,0,0,0,0,0,0,0,0,12.64,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245
5539,GJ02-176256,GlassPhysics&Chemistry,1998,v.024p.0525,Glass,AlkaliSilicate,Lead-Silicate,,,,,,,,,,,D.S.Sanditov,,70,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217
16636,GP03-313225,USPatentCorningInc.(US),2013,A8598056,Glass,Alkaline-earthSilicate,Alumino-Silicate,,NonAlkali,,,,Display,LiquidCrystalDisplay,Substrate,,,Ex.6,,68.56,4.63,12.11,4.86,5.37,1.24,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239
9124,GP02-206824,EuropeanPatentCorningInc.(US),2000,A0980341,Glass,AlkaliSilicate,Zinc-Silicate,,Molded,,,,Lens&Prism,,,,,,,66.06,0.88,2.37,4.73,0,0,0,11.78,3.5,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
4608,GJ02-091206,GlassPhysics&Chemistry,1980,v.006p.0310,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,51,0,29,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242
9829,GP06-357282,USPatentCorningInc.(US),2014,A0335331,Glass,Alumino-Silicate,Alkaline-earthSilicate,OtherSilicate,Melting,SheetGlass,NonAlkali,,ElectronicsElectrical,Substrate,,,,ex.16,,70.52,1.85,13.76,2.06,3.68,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
7099,GB02-164782,FundamentalsofInorganicGlasses,1994,v.001p.0169,Glass,AlkaliSilicate,,,,,,,,,,,,,,65,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
11202,GJ02-251262,GlassPhysics&Chemistry,2003,v.029p.0002,Glass,AlkaliSilicate,,,,,,,,,,,,,,67.38,0,0,0,0,0,0,32.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
2016,GB02-025632,HandbookofGlassData,1987,v.00Cp.0434,Glass,AlkaliSilicate,Boro-Silicate,,,,,,,,,,,,,76,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207
11278,XP06-252552,JapanesePatentOharaInc.(J),2003,A192385,Glass-Ceramics,Alumino-Silicate,,,,,,,OpticalFiber,OpticalConnector,,,,Heattreatment:700C5h+700C5hEx.3,,60.44,0,15.83,1.67,1.2,0.44,11.26,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,2.11,0,0,1.09,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
7556,GJ02-176344,GlassPhysics&Chemistry,1998,v.024p.0539,Glass,AlkaliSilicate,,,,,,,,,,,,D.S.Sanditov,,67,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295
2890,GC01-052433,CoorsTek(J),,T-2130,Glass,Silica,,,Tube,Colored,,,Lamp,,,,,Ozone-freequarzglassAbsorbUV,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
9660,GP02-353687,USPatentAsahiGlass(J),2013,A0302617,Glass,AlkaliSilicate,Alumino-Silicate,Alkaline-earthSilicate,Melting,SheetGlass,,,ChemicalStrengthen,Display,,,,ex.57,,72.5,0,6.2,8.5,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
3869,GB02-071351,HandbookofGlassData,1983,v.00Ap.0325,Glass,AlkaliSilicate,,,,,,,,,,,,,,55,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
2374,GB03-024475,HandbookofGlassData,1987,v.00Cp.0700,Glass,Alkaline-earthSilicate,,,,,,,,,,,,,,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266
16637,GP03-313226,USPatentCorningInc.(US),2013,A8598056,Glass,Alkaline-earthSilicate,Alumino-Silicate,,NonAlkali,,,,Display,LiquidCrystalDisplay,Substrate,,,Ex.7,,68.13,4.6,12.25,4.85,5.21,1.24,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241
